quizzes,solutions
760003400000400050900021030000048901320009060080700005850600010090030076003287004,000000000000000000000000000000000000000000000000000000000000000000000000000000000
200040960106530000390800710042007000080915002700060308000000509900002086005100040,000000000000000000000000000000000000000000000000000000000000000000000000000000000
008001069000030000700402080000070035690000040507008201004007320060105074209060108,000000000000000000000000000000000000000000000000000000000000000000000000000000000
001046850000000134005280000086920000200000000000170306017400089350060000904005700,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000490005056080009000000210004007030103000768900260400602050870400300006008970500,000000000000000000000000000000000000000000000000000000000000000000000000000000000
040780160500063000020900000182600070450007900096020318000000700000400093007301082,000000000000000000000000000000000000000000000000000000000000000000000000000000000
240001300010970680007008005039080201650000000000700094090003120083057040002610003,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000580612040000000051076009007809035094002080230050091006013800310760000709000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000500300009412580750000020500006000920000104408300700003060809000001002600875400,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000493076079201000130080000502000400061000807000032090908560001050000240400709500,000000000000000000000000000000000000000000000000000000000000000000000000000000000
010072008300409507402500100001000390680900000700041205000000651904005003000738000,000000000000000000000000000000000000000000000000000000000000000000000000000000000
910680030008004021020570680097000200000035100003260045400800900700000016060900350,000000000000000000000000000000000000000000000000000000000000000000000000000000000
500000080009041607013802009046000920020004078000015003891070300000900700600023004,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000400050010007069309006081400002006892030075073108000008205000120060000507009340,000000000000000000000000000000000000000000000000000000000000000000000000000000000
023510906001000820040003007800025079005091304060400008300706000000080005017040602,000000000000000000000000000000000000000000000000000000000000000000000000000000000
580400092000063400704200180006009000300080756210000900008504010090670530400020007,000000000000000000000000000000000000000000000000000000000000000000000000000000000
050002004079040120003180670400509000005670000900000083030400708082000010100060002,000000000000000000000000000000000000000000000000000000000000000000000000000000000
790040603000800000200009710960280000070304005004000120809017200600005087430600500,000000000000000000000000000000000000000000000000000000000000000000000000000000000
720010060000000000306024900004009005008136200200700000050000734010853002609000800,000000000000000000000000000000000000000000000000000000000000000000000000000000000
010800000006490030047350600060000900103004560058002007000760140000085300005103072,000000000000000000000000000000000000000000000000000000000000000000000000000000000
800970014003006082020000700070203500010589600002067109406000005000308000100040273,000000000000000000000000000000000000000000000000000000000000000000000000000000000
520103600040006070600084021006028390000510000200007084058001006074300009300090400,000000000000000000000000000000000000000000000000000000000000000000000000000000000
600005074080020500031000000010007063804060020703090150000010009970480006020076300,000000000000000000000000000000000000000000000000000000000000000000000000000000000
010020705000006093400900210304009500005607940098000060200300050600701000871204600,000000000000000000000000000000000000000000000000000000000000000000000000000000000
090300750034960010100025000951030080700080562000004009205700000000800306070641000,000000000000000000000000000000000000000000000000000000000000000000000000000000000
003106000025780009467000001000209040348007000010803065000500027700301408901000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000
